seq,at,t_block,block,condition,phase,source,kind,intent_id,intent_title,message_id,detail
1,2026-08-17T17:16:16.670Z,,,,block1_work,session,phase_advance,,,,not_started → block1_work
2,2026-08-17T17:17:25.097Z,68,1,baseline,block1_work,event,suggest_intents,,,129458,3 offered
3,2026-08-17T17:18:15.813Z,119,1,baseline,block1_work,event,search_run,,,,
4,2026-08-17T17:18:41.218Z,145,1,baseline,block1_work,rule,rule_save,6987,Rules document,129458,v2 · direct · minor · 449 chars
5,2026-08-17T17:19:30.041Z,193,1,baseline,block1_work,event,revise_submit,6987,Rules document,,
6,2026-08-17T17:19:51.093Z,214,1,baseline,block1_work,rule,rule_save,6987,Rules document,129458,v3 · feedback · minor · 660 chars
7,2026-08-17T17:20:24.064Z,247,1,baseline,block1_work,rule,rule_save,6987,Rules document,129458,v4 · feedback · 660 chars
8,2026-08-17T17:20:28.195Z,252,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v4 on 6 question(s)
9,2026-08-17T17:20:36.876Z,260,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v4 on 6 question(s)
10,2026-08-17T17:20:44.761Z,268,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v4 on 6 question(s)
11,2026-08-17T17:20:51.942Z,275,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v4 on 6 question(s)
12,2026-08-17T17:20:58.081Z,281,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v4 on 6 question(s)
13,2026-08-17T17:21:04.496Z,288,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v4 on 6 question(s)
14,2026-08-17T17:21:13.346Z,297,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v4 on 6 question(s)
15,2026-08-17T17:21:18.835Z,302,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v4 on 6 question(s)
16,2026-08-17T17:21:27.670Z,311,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v4 on 6 question(s)
17,2026-08-17T17:21:36.268Z,320,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v4 on 5 question(s)
18,2026-08-17T17:22:06.641Z,350,1,baseline,block1_work,event,suggest_rewrite_intents,6987,Rules document,129434,4 offered
19,2026-08-17T17:23:09.044Z,412,1,baseline,block1_work,event,revise_submit,6987,Rules document,,
20,2026-08-17T17:23:28.839Z,432,1,baseline,block1_work,rule,rule_save,6987,Rules document,129434,v5 · rewrite · minor · 853 chars
21,2026-08-17T17:24:30.541Z,494,1,baseline,block1_work,event,suggest_rewrite_intents,6987,Rules document,129428,3 offered
22,2026-08-17T17:25:04.675Z,528,1,baseline,block1_work,event,revise_submit,6987,Rules document,,
23,2026-08-17T17:25:21.638Z,545,1,baseline,block1_work,rule,rule_save,6987,Rules document,129428,v6 · rewrite · minor · 1016 chars
24,2026-08-17T17:25:24.577Z,548,1,baseline,block1_work,rule,rule_save,6987,Rules document,129428,v7 · rewrite · 1016 chars
25,2026-08-17T17:25:28.352Z,552,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v7 on 6 question(s)
26,2026-08-17T17:25:32.941Z,556,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v7 on 6 question(s)
27,2026-08-17T17:25:36.092Z,559,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v7 on 6 question(s)
28,2026-08-17T17:25:39.874Z,563,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v7 on 6 question(s)
29,2026-08-17T17:25:42.504Z,566,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v7 on 6 question(s)
30,2026-08-17T17:25:49.754Z,573,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v7 on 6 question(s)
31,2026-08-17T17:25:53.821Z,577,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v7 on 6 question(s)
32,2026-08-17T17:25:57.793Z,581,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v7 on 6 question(s)
33,2026-08-17T17:26:01.762Z,585,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v7 on 6 question(s)
34,2026-08-17T17:26:05.535Z,589,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v7 on 5 question(s)
35,2026-08-17T17:30:10.673Z,834,1,baseline,block1_work,event,suggest_rewrite_intents,6987,Rules document,129484,4 offered
36,2026-08-17T17:30:34.136Z,857,1,baseline,block1_work,event,revise_submit,6987,Rules document,,
37,2026-08-17T17:30:58.092Z,881,1,baseline,block1_work,rule,rule_save,6987,Rules document,129484,v8 · rewrite · minor · 892 chars
38,2026-08-17T17:32:07.205Z,951,1,baseline,block1_work,event,revise_submit,6987,Rules document,,
39,2026-08-17T17:32:30.742Z,974,1,baseline,block1_work,rule,rule_save,6987,Rules document,129484,v9 · feedback · minor · 883 chars
40,2026-08-17T17:32:32.946Z,976,1,baseline,block1_work,rule,rule_save,6987,Rules document,129484,v10 · feedback · 883 chars
41,2026-08-17T17:32:37.676Z,981,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v10 on 6 question(s)
42,2026-08-17T17:32:40.813Z,984,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v10 on 6 question(s)
43,2026-08-17T17:32:44.954Z,988,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v10 on 6 question(s)
44,2026-08-17T17:32:47.755Z,991,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v10 on 6 question(s)
45,2026-08-17T17:32:50.489Z,994,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v10 on 6 question(s)
46,2026-08-17T17:32:53.523Z,997,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v10 on 6 question(s)
47,2026-08-17T17:32:58.326Z,1002,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v10 on 6 question(s)
48,2026-08-17T17:33:01.399Z,1005,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v10 on 6 question(s)
49,2026-08-17T17:33:05.132Z,1008,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v10 on 6 question(s)
50,2026-08-17T17:33:08.055Z,1011,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v10 on 5 question(s)
51,2026-08-17T17:33:28.523Z,1032,1,baseline,block1_work,event,suggest_rewrite_intents,6987,Rules document,129516,3 offered
52,2026-08-17T17:33:55.985Z,1059,1,baseline,block1_work,event,revise_submit,6987,Rules document,,
53,2026-08-17T17:34:22.130Z,1085,1,baseline,block1_work,rule,rule_save,6987,Rules document,129516,v11 · rewrite · minor · 1134 chars
54,2026-08-17T17:35:00.640Z,1124,1,baseline,block1_work,event,suggest_rewrite_intents,6987,Rules document,129516,4 offered
55,2026-08-17T17:35:30.474Z,1154,1,baseline,block1_work,event,revise_submit,6987,Rules document,,
56,2026-08-17T17:35:39.148Z,1162,1,baseline,block1_work,rule,rule_save,6987,Rules document,129516,v12 · rewrite · minor · 1108 chars
57,2026-08-17T17:36:05.626Z,1189,1,baseline,block1_work,rule,rule_save,6987,Rules document,129516,v13 · direct · minor · 1112 chars
58,2026-08-17T17:36:14.075Z,1197,1,baseline,block1_work,rule,rule_save,6987,Rules document,129516,v14 · direct · 1112 chars
59,2026-08-17T17:36:16.641Z,1200,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v14 on 6 question(s)
60,2026-08-17T17:36:18.863Z,1202,1,baseline,block1_work,event,rule_apply,6987,Rules document,,v14 on 6 question(s)
